municipio,codigoMunicipio,familiasBeneficiarias,saldoEmpregos,procedimentosAmbulatoriais,valorMedioBeneficio,isTijucas
Abdon Batista,420005,166,45,5739,718.83,False
Abelardo Luz,420010,1534,268,44291,701.37,False
Agrolândia,420020,162,669,10554,736.19,False
Agronômica,420030,78,12,16124,727.73,False
Água Doce,420040,73,362,2690,636.07,False
Águas De Chapecó,420050,230,-46,0,705.47,False
Águas Frias,420055,40,60,7582,661.1,False
Águas Mornas,420060,169,103,12568,709.22,False
Alfredo Wagner,420070,466,137,9485,690.67,False
Alto Bela Vista,420075,20,-5,0,591.0,False
Anchieta,420080,103,33,10950,666.75,False
Angelina,420090,155,17,6375,672.06,False
Anita Garibaldi,420100,688,-13,4350,671.37,False
Anitápolis,420110,93,46,6464,697.77,False
Antônio Carlos,420120,167,407,0,670.02,False
Apiúna,420125,107,49,28036,692.5,False
Arabutã,420127,71,194,0,695.86,False
Araquari,420130,2048,2034,49881,703.37,False
Araranguá,420140,2142,718,19075,681.97,False
Armazém,420150,318,347,13473,717.15,False
Arroio Trinta,420160,30,64,6221,601.43,False
Arvoredo,420165,45,13,5511,688.11,False
Ascurra,420170,153,230,22931,755.25,False
Atalanta,420180,42,-22,5407,722.26,False
Aurora,420190,73,-19,8238,731.89,False
Balneário Arroio Do Silva,420195,1131,301,15836,709.01,False
Balneário Camboriú,420200,2874,3955,0,653.22,False
Balneário Barra Do Sul,420205,818,135,28876,694.77,False
Balneário Gaivota,420207,861,186,67799,703.54,False
Bandeirante,420208,101,26,3799,657.83,False
Barra Bonita,420209,67,-5,1652,726.37,False
Barra Velha,420210,1934,2007,51879,678.77,False
Bela Vista Do Toldo,420213,334,-18,1241,681.64,False
Belmonte,420215,77,2,0,730.37,False
Benedito Novo,420220,134,-73,41424,669.62,False
Biguaçu,420230,3356,2264,74582,663.04,False
Blumenau,420240,6695,6774,502539,667.11,False
Bocaina Do Sul,420243,265,0,0,632.2,False
Bombinhas,420245,1088,1029,0,665.2,False
Bom Jardim Da Serra,420250,504,360,951,688.45,False
Bom Jesus,420253,242,33,6704,661.12,False
Bom Jesus Do Oeste,420257,78,20,4609,723.42,False
Bom Retiro,420260,481,143,6574,683.66,False
Botuverá,420270,94,414,377,607.56,False
Braço Do Norte,420280,867,456,121556,700.67,False
Braço Do Trombudo,420285,6,47,4641,463.33,False
Brunópolis,420287,165,43,4640,648.55,False
Brusque,420290,2460,3532,0,654.29,False
Caçador,420300,2653,949,32806,682.99,False
Caibi,420310,83,244,9331,657.22,False
Calmon,420315,295,78,4764,683.55,False
Camboriú,420320,2962,2860,0,665.2,False
Capão Alto,420325,111,35,0,696.94,False
Campo Alegre,420330,344,186,0,704.56,False
Campo Belo Do Sul,420340,583,-19,31925,631.21,False
Campo Erê,420350,667,-65,17026,654.27,False
Campos Novos,420360,361,1349,31801,658.29,False
Canelinha,420370,1211,596,28292,702.57,False
Canoinhas,420380,1852,737,63742,687.91,False
Capinzal,420390,290,556,0,681.03,False
Capivari De Baixo,420395,349,790,0,667.76,False
Catanduvas,420400,408,173,0,667.92,False
Caxambu Do Sul,420410,215,64,3814,658.08,False
Celso Ramos,420415,173,82,74,706.17,False
Cerro Negro,420417,265,-12,0,624.14,False
Chapadão Do Lageado,420419,34,-11,12735,691.74,False
Chapecó,420420,4013,10385,532701,646.4,False
Cocal Do Sul,420425,204,194,0,667.57,False
Concórdia,420430,1115,2147,92845,671.33,False
Cordilheira Alta,420435,185,233,0,700.57,False
Coronel Freitas,420440,360,121,0,663.13,False
Coronel Martins,420445,59,1,6013,639.15,False
Corupá,420450,352,350,36175,696.45,False
Correia Pinto,420455,881,251,5756,701.91,False
Criciúma,420460,4927,3555,0,687.35,False
Cunha Porã,420470,176,553,15608,633.43,False
Cunhataí,420475,6,-39,3034,746.17,False
Curitibanos,420480,2109,693,60716,682.79,False
Descanso,420490,150,56,17242,685.01,False
Dionísio Cerqueira,420500,526,457,49470,695.92,False
Dona Emma,420510,54,312,11418,664.37,False
Doutor Pedrinho,420515,51,41,8952,684.06,False
Entre Rios,420517,452,16,0,648.58,False
Ermo,420519,121,-173,9104,662.93,False
Erval Velho,420520,30,-10,3989,639.0,False
Faxinal Dos Guedes,420530,222,147,9877,657.65,False
Flor Do Sertão,420535,41,104,0,651.27,False
Florianópolis,420540,13987,21212,405507,654.85,False
Formosa Do Sul,420543,82,36,9970,660.38,False
Forquilhinha,420545,869,742,115373,711.26,False
Fraiburgo,420550,1151,1685,50132,614.38,False
Frei Rogério,420555,144,26,0,674.95,False
Galvão,420560,206,-3,2108,679.6,False
Garopaba,420570,1731,337,75600,664.43,False
Garuva,420580,470,1237,0,662.02,False
Gaspar,420590,1292,1596,0,677.17,False
Governador Celso Ramos,420600,888,2597,31055,703.51,False
Grão Pará,420610,258,271,3652,715.54,False
Gravatal,420620,283,238,27198,671.85,False
Guabiruba,420630,589,516,38288,709.39,False
Guaraciaba,420640,61,-73,13756,659.21,False
Guaramirim,420650,1285,851,138675,650.08,False
Guarujá Do Sul,420660,82,191,4819,679.59,False
Guatambú,420665,256,1716,16299,643.61,False
Herval Doeste,420670,297,194,50891,699.55,False
Ibiam,420675,117,1,5256,723.84,False
Ibicaré,420680,84,26,6156,748.93,False
Ibirama,420690,215,-37,63133,637.35,False
Içara,420700,1821,2329,17947,673.81,False
Ilhota,420710,693,484,23976,682.7,False
Imaruí,420720,708,-12,35702,690.75,False
Imbituba,420730,1878,1348,0,684.92,False
Imbuia,420740,136,277,16185,709.32,False
Indaial,420750,894,-1842,126760,671.34,False
Iomerê,420757,37,-3,4215,642.78,False
Ipira,420760,60,52,3197,676.47,False
Iporã Do Oeste,420765,113,226,16349,573.88,False
Ipuaçu,420768,940,118,27643,675.74,False
Ipumirim,420770,55,-160,0,687.8,False
Iraceminha,420775,127,112,6376,656.83,False
Irani,420780,259,260,0,697.49,False
Irati,420785,76,46,1508,643.42,False
Irineópolis,420790,494,43,31635,702.37,False
Itá,420800,311,114,2770,675.19,False
Itaiópolis,420810,552,61,2348,617.79,False
Itajaí,420820,7262,17832,0,686.78,False
Itapema,420830,2284,4479,93548,692.66,False
Itapiranga,420840,191,-25,23309,695.08,False
Itapoá,420845,1321,1636,0,686.24,False
Ituporanga,420850,503,339,62704,689.63,False
Jaborá,420860,144,35,12483,709.8,False
Jacinto Machado,420870,325,260,0,755.25,False
Jaguaruna,420880,611,3167,74279,690.13,False
Jaraguá Do Sul,420890,2907,3839,479204,669.03,False
Jardinópolis,420895,83,44,6258,689.43,False
Joaçaba,420900,487,1230,44914,684.23,False
Joinville,420910,14607,22385,906192,675.93,False
José Boiteux,420915,382,31,6929,761.43,False
Jupiá,420917,89,27,7304,658.35,False
Lacerdópolis,420920,9,94,0,657.11,False
Lages,420930,8507,1985,371365,669.37,False
Laguna,420940,1408,314,49368,670.22,False
Lajeado Grande,420945,51,12,6541,706.1,False
Laurentino,420950,132,-54,8334,715.92,False
Lauro Müller,420960,370,246,41848,669.03,False
Lebon Régis,420970,855,373,12462,696.47,False
Leoberto Leal,420980,87,55,3119,690.85,False
Lindóia Do Sul,420985,93,82,4643,659.05,False
Lontras,420990,100,147,18540,659.88,False
Luiz Alves,421000,209,-113,23966,664.52,False
Luzerna,421003,27,114,0,769.89,False
Macieira,421005,45,6,5531,615.53,False
Mafra,421010,1560,-456,0,693.98,False
Major Gercino,421020,208,47,8707,682.93,False
Major Vieira,421030,448,245,33974,664.65,False
Maracajá,421040,270,98,17181,694.22,False
Maravilha,421050,357,1005,27093,647.25,False
Marema,421055,35,-29,1914,631.23,False
Massaranduba,421060,359,114,33097,668.98,False
Matos Costa,421070,248,-3,6578,709.07,False
Meleiro,421080,196,1,0,670.47,False
Mirim Doce,421085,19,-35,133,556.63,False
Modelo,421090,97,29,13247,672.27,False
Mondaí,421100,45,411,5146,704.47,False
Monte Carlo,421105,513,291,0,663.14,False
Monte Castelo,421110,683,17,4510,721.59,False
Morro Da Fumaça,421120,390,-55,0,662.44,False
Morro Grande,421125,130,40,14672,669.78,False
Navegantes,421130,4316,2565,249052,694.68,False
Nova Erechim,421140,199,-119,6475,689.02,False
Nova Itaberaba,421145,130,-13,0,644.24,False
Nova Trento,421150,323,97,41661,696.48,False
Nova Veneza,421160,233,360,48099,625.03,False
Novo Horizonte,421165,50,12,378,639.38,False
Orleans,421170,614,785,24250,666.99,False
Otacílio Costa,421175,427,755,0,675.65,False
Ouro,421180,64,104,26101,697.2,False
Ouro Verde,421185,156,18,3971,703.99,False
Paial,421187,41,-45,0,720.88,False
Painel,421189,115,25,0,658.89,False
Palhoça,421190,8062,9695,291682,682.53,False
Palma Sola,421200,417,15,13649,668.19,False
Palmeira,421205,120,94,0,682.76,False
Palmitos,421210,388,989,10308,652.59,False
Papanduva,421220,489,393,0,610.63,False
Paraíso,421223,149,112,5106,636.97,False
Passo De Torres,421225,723,209,38740,694.81,False
Passos Maia,421227,310,33,9538,708.85,False
Paulo Lopes,421230,401,461,11835,681.71,False
Pedras Grandes,421240,71,254,57,689.27,False
Penha,421250,1313,2262,53454,701.33,False
Peritiba,421260,15,67,0,586.6,False
Pescaria Brava,421265,591,15,23901,660.76,False
Petrolândia,421270,154,201,4148,681.58,False
Balneário Piçarras,421280,1167,876,73672,664.64,False
Pinhalzinho,421290,152,1196,47824,620.85,False
Pinheiro Preto,421300,26,-24,17117,616.58,False
Piratuba,421310,112,150,10122,641.75,False
Planalto Alegre,421315,53,58,0,682.83,False
Pomerode,421320,72,454,70399,605.35,False
Ponte Alta,421330,183,146,4174,684.75,False
Ponte Alta Do Norte,421335,223,-25,57,693.33,False
Ponte Serrada,421340,540,144,1674,691.55,False
Porto Belo,421350,622,2671,149901,690.06,False
Porto União,421360,645,307,47276,666.4,False
Pouso Redondo,421370,196,442,27662,626.32,False
Praia Grande,421380,433,123,0,672.76,False
Presidente Castello Branco,421390,48,22,0,801.1,False
Presidente Getúlio,421400,262,629,0,686.33,False
Presidente Nereu,421410,34,9,3421,633.32,False
Princesa,421415,73,67,64,711.23,False
Quilombo,421420,250,331,29356,654.87,False
Rancho Queimado,421430,24,90,4057,679.46,False
Rio Das Antas,421440,283,171,24428,713.13,False
Rio Do Campo,421450,58,-13,0,694.81,False
Rio Do Oeste,421460,22,75,19502,675.0,False
Rio Dos Cedros,421470,115,32,22377,639.75,False
Rio Do Sul,421480,1521,2380,159449,699.09,False
Rio Fortuna,421490,22,127,6422,618.95,False
Rio Negrinho,421500,1082,91,0,720.88,False
Rio Rufino,421505,158,70,13132,675.53,False
Riqueza,421507,96,163,4369,643.58,False
Rodeio,421510,237,42,23725,709.15,False
Romelândia,421520,141,11,1100,668.39,False
Salete,421530,91,-140,10556,760.74,False
Saltinho,421535,178,9,4320,657.1,False
Salto Veloso,421540,88,134,1387,676.51,False
Sangão,421545,383,286,41806,711.11,False
Santa Cecília,421550,966,707,14977,719.14,False
Santa Helena,421555,15,0,3854,698.6,False
Santa Rosa De Lima,421560,38,27,0,640.32,False
Santa Rosa Do Sul,421565,519,105,0,709.41,False
Santa Terezinha,421567,134,25,18883,682.97,False
Santa Terezinha Do Progresso,421568,107,21,2792,676.27,False
Santiago Do Sul,421569,26,9,1643,630.77,False
Santo Amaro Da Imperatriz,421570,780,2306,52161,679.17,False
São Bernardino,421575,62,57,726,745.23,False
São Bento Do Sul,421580,1676,493,201617,662.58,False
São Bonifácio,421590,126,38,0,657.78,False
São Carlos,421600,248,85,0,685.59,False
São Cristóvão Do Sul,421605,290,159,3289,688.84,False
São Domingos,421610,325,18,1119,642.1,False
São Francisco Do Sul,421620,1711,1468,0,685.36,False
São João Do Oeste,421625,44,59,13385,655.73,False
São João Batista,421630,852,216,37480,678.71,False
São João Do Itaperiú,421635,208,330,11883,715.03,False
São João Do Sul,421640,468,0,15770,723.03,False
São Joaquim,421650,1154,2204,39004,654.23,False
São José,421660,7482,13888,185457,679.87,False
São José Do Cedro,421670,318,202,0,696.17,False
São José Do Cerrito,421680,852,170,0,652.53,False
São Lourenço Do Oeste,421690,408,1091,0,682.43,False
São Ludgero,421700,120,728,72310,642.99,False
São Martinho,421710,61,131,0,665.57,False
São Miguel Da Boa Vista,421715,51,-29,3295,625.43,False
São Miguel Do Oeste,421720,816,1425,0,658.51,False
São Pedro De Alcântara,421725,93,117,6260,697.85,False
Saudades,421730,154,-156,11619,632.71,False
Schroeder,421740,253,104,46197,707.08,False
Seara,421750,232,-235,52629,581.6,False
Serra Alta,421755,46,15,2659,701.67,False
Siderópolis,421760,344,-85,27511,665.36,False
Sombrio,421770,1065,2058,69838,668.94,False
Sul Brasil,421775,72,-13,5126,691.36,False
Taió,421780,431,-17,27803,702.29,False
Tangará,421790,197,294,3592,668.97,False
Tigrinhos,421795,76,21,0,726.63,False
Tijucas,421800,1703,3204,56247,708.86,True
Timbé Do Sul,421810,183,97,25334,711.42,False
Timbó,421820,377,946,82161,632.47,False
Timbó Grande,421825,831,-62,14924,699.87,False
Três Barras,421830,666,190,23302,692.42,False
Treviso,421835,122,-167,10481,704.22,False
Treze De Maio,421840,152,390,0,675.32,False
Treze Tílias,421850,102,703,39733,670.91,False
Trombudo Central,421860,49,-69,7552,711.31,False
Tubarão,421870,2750,3497,47115,676.25,False
Tunápolis,421875,34,193,8100,588.71,False
Turvo,421880,182,137,53825,606.58,False
União Do Oeste,421885,43,35,0,667.42,False
Urubici,421890,634,458,0,713.56,False
Urupema,421895,235,213,0,673.29,False
Urussanga,421900,329,211,53412,640.59,False
Vargeão,421910,79,168,6970,607.22,False
Vargem,421915,94,18,0,667.01,False
Vargem Bonita,421917,117,-59,15603,734.59,False
Vidal Ramos,421920,109,72,23296,637.32,False
Videira,421930,947,1597,0,660.83,False
Vitor Meireles,421935,131,16,18309,731.01,False
Witmarsum,421940,55,130,13552,632.42,False
Xanxerê,421950,791,687,53463,644.0,False
Xavantina,421960,43,104,9809,685.02,False
Xaxim,421970,767,1119,49951,704.47,False
Zortéa,421985,116,-41,2387,686.3,False
Balneário Rincão,422000,984,718,62391,706.27,False
